nota,waktu,pembeli
akbar-1633571653105,2021-10-07 08:54:13.105,akbar
iqbal-1627204531535,2021-07-25 16:15:31.535,iqbal
iqbal-1637531464049,2021-11-22 04:51:04.049,iqbal
tri-1618110112638,2021-04-11 10:01:52.638,tri
jefri-1638320884562,2021-12-01 08:08:04.562,jefri
tri-1632336803168,2021-09-23 01:53:23.168,tri
tri-1637550551062,2021-11-22 10:09:11.062,tri
jefri-1629536570647,2021-08-21 16:02:50.647,jefri
akbar-1631475687896,2021-09-13 02:41:27.896,akbar
akbar-1623559756742,2021-06-13 11:49:16.742,akbar
iqbal-1621824130587,2021-05-24 09:42:10.587,iqbal
akbar-1633778836647,2021-10-09 18:27:16.647,akbar
akbar-1641302044064,2022-01-04 20:14:04.064,akbar
akbar-1618907609009,2021-04-20 15:33:29.009,akbar
jefri-1642528631509,2022-01-19 00:57:11.509,jefri
iqbal-1617975512961,2021-04-09 20:38:32.961,iqbal
jefri-1625262260265,2021-07-03 04:44:20.265,jefri
iqbal-1627987781331,2021-08-03 17:49:41.331,iqbal
jefri-1637499623052,2021-11-21 20:00:23.052,jefri
akbar-1635641995368,2021-10-31 07:59:55.368,akbar
tri-1618970754867,2021-04-21 09:05:54.867,tri
iqbal-1633785352869,2021-10-09 20:15:52.869,iqbal
akbar-1641346427507,2022-01-05 08:33:47.507,akbar
jefri-1620147372759,2021-05-04 23:56:12.759,jefri
jefri-1619187831101,2021-04-23 21:23:51.101,jefri
iqbal-1642786343058,2022-01-22 00:32:23.058,iqbal
tri-1630310336859,2021-08-30 14:58:56.859,tri
akbar-1646578042221,2022-03-06 21:47:22.221,akbar
tri-1630242529767,2021-08-29 20:08:49.767,tri
akbar-1621316246490,2021-05-18 12:37:26.49,akbar
jefri-1623827162702,2021-06-16 14:06:02.702,jefri
jefri-1618501667265,2021-04-15 22:47:47.265,jefri
iqbal-1631281606957,2021-09-10 20:46:46.957,iqbal
jefri-1624671676827,2021-06-26 08:41:16.827,jefri
iqbal-1633320967360,2021-10-04 11:16:07.36,iqbal
jefri-1641727381171,2022-01-09 18:23:01.171,jefri
tri-1639088562014,2021-12-10 05:22:42.014,tri
jefri-1637436413333,2021-11-21 02:26:53.333,jefri
akbar-1639940491750,2021-12-20 02:01:31.75,akbar
iqbal-1634376266695,2021-10-16 16:24:26.695,iqbal
akbar-1642565239177,2022-01-19 11:07:19.177,akbar
iqbal-1637604753398,2021-11-23 01:12:33.398,iqbal
tri-1632833192326,2021-09-28 19:46:32.326,tri
akbar-1646782183406,2022-03-09 06:29:43.406,akbar
tri-1645339803703,2022-02-20 13:50:03.703,tri
akbar-1642972713586,2022-01-24 04:18:33.586,akbar
iqbal-1644787477639,2022-02-14 04:24:37.639,iqbal
akbar-1631262351307,2021-09-10 15:25:51.307,akbar
akbar-1622105538050,2021-05-27 15:52:18.05,akbar
jefri-1634672264652,2021-10-20 02:37:44.652,jefri
tri-1642299572628,2022-01-16 09:19:32.628,tri
jefri-1630060268156,2021-08-27 17:31:08.156,jefri
tri-1645719835842,2022-02-24 23:23:55.842,tri
jefri-1638374895766,2021-12-01 23:08:15.766,jefri
akbar-1632170302847,2021-09-21 03:38:22.847,akbar
tri-1646255051086,2022-03-03 04:04:11.086,tri
akbar-1628647798518,2021-08-11 09:09:58.518,akbar
jefri-1635348634045,2021-10-27 22:30:34.045,jefri
jefri-1629904576907,2021-08-25 22:16:16.907,jefri
iqbal-1618543914450,2021-04-16 10:31:54.45,iqbal
tri-1624966205298,2021-06-29 18:30:05.298,tri
akbar-1629667412465,2021-08-23 04:23:32.465,akbar
akbar-1622994054633,2021-06-06 22:40:54.633,akbar
tri-1643972516526,2022-02-04 18:01:56.526,tri
akbar-1642856631646,2022-01-22 20:03:51.646,akbar
iqbal-1646195685550,2022-03-02 11:34:45.55,iqbal
iqbal-1641819132464,2022-01-10 19:52:12.464,iqbal
tri-1645899508667,2022-02-27 01:18:28.667,tri
akbar-1625310955432,2021-07-03 18:15:55.432,akbar
jefri-1638925772201,2021-12-08 08:09:32.201,jefri
jefri-1626626497373,2021-07-18 23:41:37.373,jefri
tri-1647908230318,2022-03-22 07:17:10.318,tri
akbar-1633240933645,2021-10-03 13:02:13.645,akbar
iqbal-1623933007547,2021-06-17 19:30:07.547,iqbal
tri-1622054865295,2021-05-27 01:47:45.295,tri
tri-1633063569775,2021-10-01 11:46:09.775,tri
tri-1623598122215,2021-06-13 22:28:42.215,tri
tri-1620583675012,2021-05-10 01:07:55.012,tri
iqbal-1634312613765,2021-10-15 22:43:33.765,iqbal
tri-1643028898596,2022-01-24 19:54:58.596,tri
iqbal-1648999077265,2022-04-03 22:17:57.265,iqbal
iqbal-1633468139988,2021-10-06 04:08:59.988,iqbal
tri-1642277894775,2022-01-16 03:18:14.775,tri
iqbal-1619449676389,2021-04-26 22:07:56.389,iqbal
iqbal-1648693407970,2022-03-31 09:23:27.97,iqbal
jefri-1633330747514,2021-10-04 13:59:07.514,jefri
iqbal-1634004193928,2021-10-12 09:03:13.928,iqbal
tri-1640586315226,2021-12-27 13:25:15.226,tri
jefri-1641924977032,2022-01-12 01:16:17.032,jefri
jefri-1642773850554,2022-01-21 21:04:10.554,jefri
iqbal-1630340389184,2021-08-30 23:19:49.184,iqbal
tri-1643279062079,2022-01-27 17:24:22.079,tri
tri-1642998108147,2022-01-24 11:21:48.147,tri
tri-1630123345823,2021-08-28 11:02:25.823,tri
tri-1641575153107,2022-01-08 00:05:53.107,tri
iqbal-1639264597246,2021-12-12 06:16:37.246,iqbal
akbar-1645818528910,2022-02-26 02:48:48.91,akbar
tri-1648374150321,2022-03-27 16:42:30.321,tri
iqbal-1635615700249,2021-10-31 00:41:40.249,iqbal
akbar-1630899014414,2021-09-06 10:30:14.414,akbar
akbar-1637138588494,2021-11-17 15:43:08.494,akbar
iqbal-1647637743545,2022-03-19 04:09:03.545,iqbal
iqbal-1634550131476,2021-10-18 16:42:11.476,iqbal
iqbal-1622270970786,2021-05-29 13:49:30.786,iqbal
akbar-1622393875703,2021-05-30 23:57:55.703,akbar
iqbal-1626700737760,2021-07-19 20:18:57.76,iqbal
akbar-1641260672391,2022-01-04 08:44:32.391,akbar
jefri-1620180522182,2021-05-05 09:08:42.182,jefri
jefri-1620064065941,2021-05-04 00:47:45.941,jefri
akbar-1646372561310,2022-03-04 12:42:41.31,akbar
tri-1647636710379,2022-03-19 03:51:50.379,tri
akbar-1627400556384,2021-07-27 22:42:36.384,akbar
iqbal-1630827597114,2021-09-05 14:39:57.114,iqbal
jefri-1621047270683,2021-05-15 09:54:30.683,jefri
jefri-1630042613689,2021-08-27 12:36:53.689,jefri
jefri-1632953677995,2021-09-30 05:14:37.995,jefri
tri-1633775657576,2021-10-09 17:34:17.576,tri
jefri-1646213214704,2022-03-02 16:26:54.704,jefri
iqbal-1644309420099,2022-02-08 15:37:00.099,iqbal
iqbal-1621714647261,2021-05-23 03:17:27.261,iqbal
jefri-1625054275756,2021-06-30 18:57:55.756,jefri
akbar-1635593450523,2021-10-30 18:30:50.523,akbar
jefri-1627649002790,2021-07-30 19:43:22.79,jefri
akbar-1630182984920,2021-08-29 03:36:24.92,akbar
akbar-1640515821548,2021-12-26 17:50:21.548,akbar
akbar-1625182473313,2021-07-02 06:34:33.313,akbar
tri-1637714094350,2021-11-24 07:34:54.35,tri
tri-1633379277704,2021-10-05 03:27:57.704,tri
iqbal-1636080205066,2021-11-05 09:43:25.066,iqbal
tri-1631438981480,2021-09-12 16:29:41.48,tri
tri-1632429660807,2021-09-24 03:41:00.807,tri
tri-1646344702634,2022-03-04 04:58:22.634,tri
jefri-1621401823781,2021-05-19 12:23:43.781,jefri
akbar-1627211541969,2021-07-25 18:12:21.969,akbar
akbar-1641302047023,2022-01-04 20:14:07.023,akbar
iqbal-1628827047143,2021-08-13 10:57:27.143,iqbal
jefri-1628611716645,2021-08-10 23:08:36.645,jefri
tri-1623856650521,2021-06-16 22:17:30.521,tri
tri-1639365783081,2021-12-13 10:23:03.081,tri
tri-1623492943436,2021-06-12 17:15:43.436,tri
jefri-1647516111825,2022-03-17 18:21:51.825,jefri
akbar-1634486103910,2021-10-17 22:55:03.91,akbar
akbar-1630383792108,2021-08-31 11:23:12.108,akbar
jefri-1637669406470,2021-11-23 19:10:06.47,jefri
jefri-1634430276398,2021-10-17 07:24:36.398,jefri
akbar-1629980399750,2021-08-26 19:19:59.75,akbar
tri-1639665344288,2021-12-16 21:35:44.288,tri
akbar-1639077110300,2021-12-10 02:11:50.3,akbar
iqbal-1633870303539,2021-10-10 19:51:43.539,iqbal
iqbal-1625959203191,2021-07-11 06:20:03.191,iqbal
akbar-1622716600156,2021-06-03 17:36:40.156,akbar
akbar-1623579653941,2021-06-13 17:20:53.941,akbar
jefri-1621687823697,2021-05-22 19:50:23.697,jefri
iqbal-1644970700605,2022-02-16 07:18:20.605,iqbal
iqbal-1618331394768,2021-04-13 23:29:54.768,iqbal
akbar-1641485599908,2022-01-06 23:13:19.908,akbar
tri-1626190112229,2021-07-13 22:28:32.229,tri
tri-1635318799245,2021-10-27 14:13:19.245,tri
tri-1624895113658,2021-06-28 22:45:13.658,tri
akbar-1648883658663,2022-04-02 14:14:18.663,akbar
akbar-1647965345292,2022-03-22 23:09:05.292,akbar
iqbal-1636431866512,2021-11-09 11:24:26.512,iqbal
jefri-1646721523673,2022-03-08 13:38:43.673,jefri
iqbal-1642653808051,2022-01-20 11:43:28.051,iqbal
jefri-1644217359129,2022-02-07 14:02:39.129,jefri
akbar-1624572698228,2021-06-25 05:11:38.228,akbar
jefri-1641760852970,2022-01-10 03:40:52.97,jefri
tri-1622691943664,2021-06-03 10:45:43.664,tri
akbar-1626685433171,2021-07-19 16:03:53.171,akbar
jefri-1619840341514,2021-05-01 10:39:01.514,jefri
tri-1644641630152,2022-02-12 11:53:50.152,tri
jefri-1627624774411,2021-07-30 12:59:34.411,jefri
jefri-1633003974789,2021-09-30 19:12:54.789,jefri
tri-1646173978668,2022-03-02 05:32:58.668,tri
iqbal-1627784665597,2021-08-01 09:24:25.597,iqbal
jefri-1635049848960,2021-10-24 11:30:48.96,jefri
jefri-1621882065390,2021-05-25 01:47:45.39,jefri
tri-1638886567275,2021-12-07 21:16:07.275,tri
jefri-1634395898071,2021-10-16 21:51:38.071,jefri
iqbal-1632793594534,2021-09-28 08:46:34.534,iqbal
akbar-1639739184047,2021-12-17 18:06:24.047,akbar
tri-1639295717390,2021-12-12 14:55:17.39,tri
iqbal-1625578590930,2021-07-06 20:36:30.93,iqbal
iqbal-1645032664916,2022-02-17 00:31:04.916,iqbal
akbar-1622982872613,2021-06-06 19:34:32.613,akbar
tri-1648326907933,2022-03-27 03:35:07.933,tri
iqbal-1641585855437,2022-01-08 03:04:15.437,iqbal
jefri-1628307464209,2021-08-07 10:37:44.209,jefri
tri-1626216421272,2021-07-14 05:47:01.272,tri
iqbal-1635420733009,2021-10-28 18:32:13.009,iqbal
iqbal-1642702533838,2022-01-21 01:15:33.838,iqbal
tri-1635952593538,2021-11-03 22:16:33.538,tri
jefri-1622855388611,2021-06-05 08:09:48.611,jefri
tri-1628171288827,2021-08-05 20:48:08.827,tri
jefri-1627259829036,2021-07-26 07:37:09.036,jefri
akbar-1629509191416,2021-08-21 08:26:31.416,akbar
akbar-1639724694375,2021-12-17 14:04:54.375,akbar
tri-1648704479672,2022-03-31 12:27:59.672,tri
jefri-1621437703205,2021-05-19 22:21:43.205,jefri
iqbal-1630272610468,2021-08-30 04:30:10.468,iqbal
jefri-1646547035304,2022-03-06 13:10:35.304,jefri
iqbal-1626677301155,2021-07-19 13:48:21.155,iqbal
akbar-1631871750319,2021-09-17 16:42:30.319,akbar
akbar-1641993315057,2022-01-12 20:15:15.057,akbar
akbar-1639189683638,2021-12-11 09:28:03.638,akbar
tri-1638137555203,2021-11-29 05:12:35.203,tri
akbar-1625651184138,2021-07-07 16:46:24.138,akbar
iqbal-1630717356187,2021-09-04 08:02:36.187,iqbal
akbar-1649205908369,2022-04-06 07:45:08.369,akbar
iqbal-1618523634546,2021-04-16 04:53:54.546,iqbal
tri-1646035334006,2022-02-28 15:02:14.006,tri
tri-1623071809876,2021-06-07 20:16:49.876,tri
iqbal-1645920052662,2022-02-27 07:00:52.662,iqbal
akbar-1623057580993,2021-06-07 16:19:40.993,akbar
akbar-1633826028302,2021-10-10 07:33:48.302,akbar
iqbal-1632712228073,2021-09-27 10:10:28.073,iqbal
tri-1625867077759,2021-07-10 04:44:37.759,tri
akbar-1635923529202,2021-11-03 14:12:09.202,akbar
tri-1639207039796,2021-12-11 14:17:19.796,tri
jefri-1635447951872,2021-10-29 02:05:51.872,jefri
tri-1625679581266,2021-07-08 00:39:41.266,tri
jefri-1625480661539,2021-07-05 17:24:21.539,jefri
akbar-1644207902503,2022-02-07 11:25:02.503,akbar
iqbal-1649083538496,2022-04-04 21:45:38.496,iqbal
akbar-1626817824912,2021-07-21 04:50:24.912,akbar
jefri-1639200568544,2021-12-11 12:29:28.544,jefri
jefri-1627424677397,2021-07-28 05:24:37.397,jefri
tri-1623510498410,2021-06-12 22:08:18.41,tri
jefri-1640672688569,2021-12-28 13:24:48.569,jefri
iqbal-1633313550864,2021-10-04 09:12:30.864,iqbal
tri-1630599319213,2021-09-02 23:15:19.213,tri
tri-1644206862687,2022-02-07 11:07:42.687,tri
jefri-1647272323698,2022-03-14 22:38:43.698,jefri
jefri-1622924121010,2021-06-06 03:15:21.01,jefri
jefri-1642089118995,2022-01-13 22:51:58.995,jefri
akbar-1643828052285,2022-02-03 01:54:12.285,akbar
akbar-1647401324673,2022-03-16 10:28:44.673,akbar
akbar-1647858369734,2022-03-21 17:26:09.734,akbar
tri-1641209301841,2022-01-03 18:28:21.841,tri
jefri-1631866499000,2021-09-17 15:14:59.0,jefri
iqbal-1618644809070,2021-04-17 14:33:29.07,iqbal
jefri-1620526684678,2021-05-09 09:18:04.678,jefri
jefri-1627498799262,2021-07-29 01:59:59.262,jefri
akbar-1637928662240,2021-11-26 19:11:02.24,akbar
akbar-1629325161833,2021-08-19 05:19:21.833,akbar
akbar-1622679401272,2021-06-03 07:16:41.272,akbar
jefri-1635091240129,2021-10-24 23:00:40.129,jefri
tri-1628600560147,2021-08-10 20:02:40.147,tri
akbar-1628812636587,2021-08-13 06:57:16.587,akbar
tri-1646174739075,2022-03-02 05:45:39.075,tri
jefri-1621306073854,2021-05-18 09:47:53.854,jefri
tri-1633813407862,2021-10-10 04:03:27.862,tri
iqbal-1636952092701,2021-11-15 11:54:52.701,iqbal
iqbal-1638841641434,2021-12-07 08:47:21.434,iqbal
iqbal-1633588255090,2021-10-07 13:30:55.09,iqbal
akbar-1642756870769,2022-01-21 16:21:10.769,akbar
tri-1644715309383,2022-02-13 08:21:49.383,tri
tri-1634187190078,2021-10-14 11:53:10.078,tri
iqbal-1628464564405,2021-08-09 06:16:04.405,iqbal
akbar-1629952041729,2021-08-26 11:27:21.729,akbar
akbar-1644607172897,2022-02-12 02:19:32.897,akbar
akbar-1641079180649,2022-01-02 06:19:40.649,akbar
jefri-1620522965280,2021-05-09 08:16:05.28,jefri
akbar-1632526914114,2021-09-25 06:41:54.114,akbar
tri-1643694383407,2022-02-01 12:46:23.407,tri
akbar-1648176621533,2022-03-25 09:50:21.533,akbar
iqbal-1626135175297,2021-07-13 07:12:55.297,iqbal
tri-1627682433603,2021-07-31 05:00:33.603,tri
iqbal-1639947893835,2021-12-20 04:04:53.835,iqbal
tri-1641293966791,2022-01-04 17:59:26.791,tri
akbar-1637362887550,2021-11-20 06:01:27.55,akbar
iqbal-1637612286484,2021-11-23 03:18:06.484,iqbal
iqbal-1647946381185,2022-03-22 17:53:01.185,iqbal
akbar-1625152163316,2021-07-01 22:09:23.316,akbar
tri-1642213938889,2022-01-15 09:32:18.889,tri
akbar-1629670529465,2021-08-23 05:15:29.465,akbar
tri-1626190172537,2021-07-13 22:29:32.537,tri
akbar-1624448756829,2021-06-23 18:45:56.829,akbar
akbar-1630652409763,2021-09-03 14:00:09.763,akbar
iqbal-1629494872753,2021-08-21 04:27:52.753,iqbal
akbar-1648359849678,2022-03-27 12:44:09.678,akbar
jefri-1641218724909,2022-01-03 21:05:24.909,jefri
akbar-1633190218803,2021-10-02 22:56:58.803,akbar
iqbal-1620921331301,2021-05-13 22:55:31.301,iqbal
akbar-1639352750761,2021-12-13 06:45:50.761,akbar
jefri-1644914531165,2022-02-15 15:42:11.165,jefri
tri-1618674589444,2021-04-17 22:49:49.444,tri
akbar-1631465153398,2021-09-12 23:45:53.398,akbar
akbar-1619748564376,2021-04-30 09:09:24.376,akbar
jefri-1644463649233,2022-02-10 10:27:29.233,jefri
tri-1623805252003,2021-06-16 08:00:52.003,tri
tri-1619278557068,2021-04-24 22:35:57.068,tri
tri-1624761510249,2021-06-27 09:38:30.249,tri
jefri-1640746893951,2021-12-29 10:01:33.951,jefri
iqbal-1637223868537,2021-11-18 15:24:28.537,iqbal
iqbal-1635773130041,2021-11-01 20:25:30.041,iqbal
akbar-1624118742803,2021-06-19 23:05:42.803,akbar
akbar-1631784705486,2021-09-16 16:31:45.486,akbar
akbar-1625302932165,2021-07-03 16:02:12.165,akbar
iqbal-1637156742007,2021-11-17 20:45:42.007,iqbal
akbar-1623183981369,2021-06-09 03:26:21.369,akbar
tri-1644739134223,2022-02-13 14:58:54.223,tri
tri-1637646234103,2021-11-23 12:43:54.103,tri
akbar-1646748552515,2022-03-08 21:09:12.515,akbar
tri-1631410873267,2021-09-12 08:41:13.267,tri
tri-1643750014631,2022-02-02 04:13:34.631,tri
jefri-1628843490947,2021-08-13 15:31:30.947,jefri
jefri-1642416277722,2022-01-17 17:44:37.722,jefri
tri-1638357636519,2021-12-01 18:20:36.519,tri
akbar-1634915304576,2021-10-22 22:08:24.576,akbar
iqbal-1632263294087,2021-09-22 05:28:14.087,iqbal
iqbal-1632858856779,2021-09-29 02:54:16.779,iqbal
jefri-1622961692723,2021-06-06 13:41:32.723,jefri
jefri-1645532037975,2022-02-22 19:13:57.975,jefri
iqbal-1640862261777,2021-12-30 18:04:21.777,iqbal
tri-1619205603317,2021-04-24 02:20:03.317,tri
tri-1621493701645,2021-05-20 13:55:01.645,tri
tri-1629159810938,2021-08-17 07:23:30.938,tri
akbar-1634366254770,2021-10-16 13:37:34.77,akbar
akbar-1618359218535,2021-04-14 07:13:38.535,akbar
iqbal-1640350642854,2021-12-24 19:57:22.854,iqbal
akbar-1627831956713,2021-08-01 22:32:36.713,akbar
tri-1635341359249,2021-10-27 20:29:19.249,tri
tri-1626022365247,2021-07-11 23:52:45.247,tri
akbar-1621033704350,2021-05-15 06:08:24.35,akbar
iqbal-1634860580461,2021-10-22 06:56:20.461,iqbal
akbar-1643527997795,2022-01-30 14:33:17.795,akbar
tri-1627376887057,2021-07-27 16:08:07.057,tri
akbar-1632856140529,2021-09-29 02:09:00.529,akbar
jefri-1623922222686,2021-06-17 16:30:22.686,jefri
tri-1639101390047,2021-12-10 08:56:30.047,tri
akbar-1635235599723,2021-10-26 15:06:39.723,akbar
tri-1621448343751,2021-05-20 01:19:03.751,tri
tri-1648002644604,2022-03-23 09:30:44.604,tri
tri-1646456949014,2022-03-05 12:09:09.014,tri
iqbal-1622987046424,2021-06-06 20:44:06.424,iqbal
akbar-1633354844865,2021-10-04 20:40:44.865,akbar
jefri-1621108838016,2021-05-16 03:00:38.016,jefri
akbar-1621688169368,2021-05-22 19:56:09.368,akbar
akbar-1645431363972,2022-02-21 15:16:03.972,akbar
iqbal-1626205279206,2021-07-14 02:41:19.206,iqbal
akbar-1632866293801,2021-09-29 04:58:13.801,akbar
iqbal-1638517839122,2021-12-03 14:50:39.122,iqbal
jefri-1627693408231,2021-07-31 08:03:28.231,jefri
iqbal-1637638482396,2021-11-23 10:34:42.396,iqbal
akbar-1624657330913,2021-06-26 04:42:10.913,akbar
tri-1646633707646,2022-03-07 13:15:07.646,tri
tri-1634680831528,2021-10-20 05:00:31.528,tri
jefri-1639722571074,2021-12-17 13:29:31.074,jefri
akbar-1631533868081,2021-09-13 18:51:08.081,akbar
tri-1640896964202,2021-12-31 03:42:44.202,tri
iqbal-1641566451444,2022-01-07 21:40:51.444,iqbal
tri-1634629162942,2021-10-19 14:39:22.942,tri
tri-1618911841546,2021-04-20 16:44:01.546,tri
tri-1626531850964,2021-07-17 21:24:10.964,tri
tri-1646131097164,2022-03-01 17:38:17.164,tri
tri-1634473050481,2021-10-17 19:17:30.481,tri
akbar-1626265390930,2021-07-14 19:23:10.93,akbar
tri-1628729881904,2021-08-12 07:58:01.904,tri
iqbal-1622853955063,2021-06-05 07:45:55.063,iqbal
tri-1634957087013,2021-10-23 09:44:47.013,tri
iqbal-1645895672963,2022-02-27 00:14:32.963,iqbal
jefri-1632259189057,2021-09-22 04:19:49.057,jefri
iqbal-1632008905288,2021-09-19 06:48:25.288,iqbal
iqbal-1646142923404,2022-03-01 20:55:23.404,iqbal
akbar-1632473327590,2021-09-24 15:48:47.59,akbar
akbar-1635724441309,2021-11-01 06:54:01.309,akbar
tri-1618909929523,2021-04-20 16:12:09.523,tri
jefri-1624311832587,2021-06-22 04:43:52.587,jefri
tri-1618050699747,2021-04-10 17:31:39.747,tri
tri-1623929676604,2021-06-17 18:34:36.604,tri
akbar-1627575813087,2021-07-29 23:23:33.087,akbar
jefri-1642511397885,2022-01-18 20:09:57.885,jefri
jefri-1641153422320,2022-01-03 02:57:02.32,jefri
iqbal-1643794589908,2022-02-02 16:36:29.908,iqbal
iqbal-1644567772067,2022-02-11 15:22:52.067,iqbal
jefri-1639505429247,2021-12-15 01:10:29.247,jefri
jefri-1620328018858,2021-05-07 02:06:58.858,jefri
jefri-1633431022963,2021-10-05 17:50:22.963,jefri
jefri-1639476297694,2021-12-14 17:04:57.694,jefri
iqbal-1627660613446,2021-07-30 22:56:53.446,iqbal
jefri-1625288551226,2021-07-03 12:02:31.226,jefri
jefri-1644829492557,2022-02-14 16:04:52.557,jefri
jefri-1633743761055,2021-10-09 08:42:41.055,jefri
akbar-1630204455137,2021-08-29 09:34:15.137,akbar
tri-1647706948541,2022-03-19 23:22:28.541,tri
iqbal-1627117101499,2021-07-24 15:58:21.499,iqbal
akbar-1634475683488,2021-10-17 20:01:23.488,akbar
jefri-1620972513824,2021-05-14 13:08:33.824,jefri
akbar-1647470118123,2022-03-17 05:35:18.123,akbar
akbar-1620127674281,2021-05-04 18:27:54.281,akbar
akbar-1633969558810,2021-10-11 23:25:58.81,akbar
jefri-1618828745205,2021-04-19 17:39:05.205,jefri
iqbal-1621164768426,2021-05-16 18:32:48.426,iqbal
tri-1649292340680,2022-04-07 07:45:40.68,tri
jefri-1646935248292,2022-03-11 01:00:48.292,jefri
jefri-1642009461803,2022-01-13 00:44:21.803,jefri
iqbal-1638093137756,2021-11-28 16:52:17.756,iqbal
tri-1647647355646,2022-03-19 06:49:15.646,tri
jefri-1634567766118,2021-10-18 21:36:06.118,jefri
iqbal-1622463629127,2021-05-31 19:20:29.127,iqbal
jefri-1627686446753,2021-07-31 06:07:26.753,jefri
akbar-1635080284911,2021-10-24 19:58:04.911,akbar
iqbal-1620891459565,2021-05-13 14:37:39.565,iqbal
jefri-1647810567567,2022-03-21 04:09:27.567,jefri
iqbal-1627948150532,2021-08-03 06:49:10.532,iqbal
iqbal-1629308998356,2021-08-19 00:49:58.356,iqbal
iqbal-1631442454456,2021-09-12 17:27:34.456,iqbal
iqbal-1627924136385,2021-08-03 00:08:56.385,iqbal
iqbal-1635511561074,2021-10-29 19:46:01.074,iqbal
iqbal-1634537369220,2021-10-18 13:09:29.22,iqbal
iqbal-1647811321088,2022-03-21 04:22:01.088,iqbal
akbar-1628230349350,2021-08-06 13:12:29.35,akbar
tri-1632361425978,2021-09-23 08:43:45.978,tri
iqbal-1642086230981,2022-01-13 22:03:50.981,iqbal
akbar-1641880890615,2022-01-11 13:01:30.615,akbar
iqbal-1620266608871,2021-05-06 09:03:28.871,iqbal
jefri-1625058990312,2021-06-30 20:16:30.312,jefri
akbar-1642994896226,2022-01-24 10:28:16.226,akbar
jefri-1618681100478,2021-04-18 00:38:20.478,jefri
iqbal-1628906185279,2021-08-14 08:56:25.279,iqbal
akbar-1647734400914,2022-03-20 07:00:00.914,akbar
tri-1629088513655,2021-08-16 11:35:13.655,tri
iqbal-1634115272381,2021-10-13 15:54:32.381,iqbal
tri-1647028074289,2022-03-12 02:47:54.289,tri
tri-1642306577095,2022-01-16 11:16:17.095,tri
jefri-1623380619969,2021-06-11 10:03:39.969,jefri
jefri-1618984945370,2021-04-21 13:02:25.37,jefri
tri-1647699443713,2022-03-19 21:17:23.713,tri
tri-1636794063599,2021-11-13 16:01:03.599,tri
tri-1642617483087,2022-01-20 01:38:03.087,tri
tri-1644588049508,2022-02-11 21:00:49.508,tri
tri-1632011776306,2021-09-19 07:36:16.306,tri
tri-1618821777195,2021-04-19 15:42:57.195,tri
akbar-1632197935618,2021-09-21 11:18:55.618,akbar
jefri-1636020026022,2021-11-04 17:00:26.022,jefri
iqbal-1630204755384,2021-08-29 09:39:15.384,iqbal
tri-1649391347150,2022-04-08 11:15:47.15,tri
iqbal-1625130139158,2021-07-01 16:02:19.158,iqbal
iqbal-1618131106944,2021-04-11 15:51:46.944,iqbal
tri-1634085211910,2021-10-13 07:33:31.91,tri
jefri-1647345518077,2022-03-15 18:58:38.077,jefri
jefri-1623751048647,2021-06-15 16:57:28.647,jefri
tri-1646834827440,2022-03-09 21:07:07.44,tri
jefri-1632122021249,2021-09-20 14:13:41.249,jefri
tri-1618620366207,2021-04-17 07:46:06.207,tri
akbar-1627024840304,2021-07-23 14:20:40.304,akbar
jefri-1618725877623,2021-04-18 13:04:37.623,jefri
jefri-1631582478226,2021-09-14 08:21:18.226,jefri
jefri-1630307273515,2021-08-30 14:07:53.515,jefri
iqbal-1636200219309,2021-11-06 19:03:39.309,iqbal
iqbal-1639159405921,2021-12-11 01:03:25.921,iqbal
akbar-1627591943912,2021-07-30 03:52:23.912,akbar
jefri-1624422797965,2021-06-23 11:33:17.965,jefri
akbar-1631543504403,2021-09-13 21:31:44.403,akbar
iqbal-1632416887141,2021-09-24 00:08:07.141,iqbal
jefri-1628819309197,2021-08-13 08:48:29.197,jefri
jefri-1624404756229,2021-06-23 06:32:36.229,jefri
jefri-1626972663226,2021-07-22 23:51:03.226,jefri
tri-1643018813902,2022-01-24 17:06:53.902,tri
jefri-1642991193551,2022-01-24 09:26:33.551,jefri
akbar-1629574528288,2021-08-22 02:35:28.288,akbar
tri-1618427050580,2021-04-15 02:04:10.58,tri
iqbal-1618452239542,2021-04-15 09:03:59.542,iqbal
akbar-1648983883019,2022-04-03 18:04:43.019,akbar
tri-1645861448298,2022-02-26 14:44:08.298,tri
jefri-1633253604545,2021-10-03 16:33:24.545,jefri
tri-1628322389211,2021-08-07 14:46:29.211,tri
akbar-1635285909230,2021-10-27 05:05:09.23,akbar
jefri-1642780853624,2022-01-21 23:00:53.624,jefri
iqbal-1632529836312,2021-09-25 07:30:36.312,iqbal
tri-1633573741920,2021-10-07 09:29:01.92,tri
jefri-1622457578269,2021-05-31 17:39:38.269,jefri
akbar-1646110688280,2022-03-01 11:58:08.28,akbar
jefri-1644790442573,2022-02-14 05:14:02.573,jefri
jefri-1622353692768,2021-05-30 12:48:12.768,jefri
tri-1642961722854,2022-01-24 01:15:22.854,tri
jefri-1648118219950,2022-03-24 17:36:59.95,jefri
akbar-1643550242050,2022-01-30 20:44:02.05,akbar
akbar-1624407557241,2021-06-23 07:19:17.241,akbar
tri-1625098571279,2021-07-01 07:16:11.279,tri
iqbal-1633581585492,2021-10-07 11:39:45.492,iqbal
akbar-1641026646503,2022-01-01 15:44:06.503,akbar
